NUTS2,y2006,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060
DK04,1223006,1253998,1285726,1319948,1358317,1396454,1429973,1456943,1478010,1495742,1513240,1532481
DK05,574893,579628,579701,579873,581735,582383,580407,575863,569650,562729,555822,549755
EE00,1344684,1333290,1311505,1284459,1247214,1208245,1178674,1162106,1147303,1131200,1113217,1092858
ES11,2718490,2772466,2733943,2669909,2593172,2525437,2473667,2438510,2415575,2395969,2372687,2339496
ES12,1058330,1077102,1054510,1023577,988805,958779,935319,917381,902947,889527,875896,860680
ES13,557226,588512,587923,582835,573526,565637,561243,560277,560857,560677,558908,555019
ES21,2113052,2179521,2160281,2117058,2057564,2004427,1967119,1946875,1938608,1933065,1924439,1910395
ES22,588306,633023,637897,637315,633846,634147,640070,651204,665728,680728,694417,705541
ES23,300821,319934,314154,304424,293502,284856,279453,277135,276857,277091,277074,276343
ES24,1258847,1344181,1320182,1282975,1243679,1215051,1199940,1197531,1204053,1213318,1221667,1226451
ES30,5938391,6373546,6370120,6291923,6177026,6095523,6070822,6107639,6189401,6281928,6361778,6409657
ES41,2477128,2547401,2480302,2391028,2293156,2207938,2140819,2090439,2050738,2012899,1972377,1926549
ES42,1892657,2084468,2083113,2068588,2052276,2050190,2065266,2095645,2134565,2171532,2201007,2219969
ES43,1071339,1099610,1094446,1082612,1069545,1060648,1056355,1055831,1056745,1055580,1050870,1042150
ES51,6936148,7463488,7400494,7246464,7070204,6954542,6920938,6964823,7061307,7172737,7278874,7362648
ES52,4641240,4989631,4917629,4776586,4616559,4488461,4406119,4370084,4366023,4369239,4366672,4347544
ES53,985620,1083679,1112586,1131234,1147789,1172714,1207737,1252287,1303450,1355911,1405922,1448804
ES61,7794121,8276008,8382232,8404654,8405196,8438082,8515173,8634696,8774371,8897602,8988577,9039343
ES62,1335347,1453543,1451436,1434732,1413147,1401974,1404770,1420388,1443408,1466026,1484461,1496000
ES63,71414,79294,87268,95155,103339,112342,122198,132711,143590,154414,165036,175324
ES64,66412,76049,87500,98920,110999,124401,139321,155780,173441,191801,210599,229610
ES70,1953361,2045163,2114273,2154173,2187179,2229186,2281696,2342246,2405460,2463512,2511977,2545604
FI13,664196,6.629.874.857,6.654.428.718,6.680.245.816,6.692.617.361,6.679.263.866,6.637.490.082,6.570.952.751,6.487.630.214,6.396.344.677,6.307.703.245,6.236.936.368
FI18,2595823,2672190,2767547,2872659,2978625,3078078,3164563,3237127,3298115,3349045,3392619,3435845
FI19,1334293,1355168,1380864,1409664,1438100,1463239,1483528,1499287,1512014,1522848,1532915,1544639
FI1A,634502,6.333.475.143,6.356.931.282,6.381.594.184,6.393.412.639,6.380.656.134,6.340.749.918,6.277.187.249,6.197.589.786,6.110.385.323,6.025.706.755,5.958.103.632
FI20,26766,27734,28949,30352,31947,33547,35001,36313,37459,38416,39194,39963
FR10,11532398,11786234,12075291,12406437,12746539,13106695,13472946,13826616,14157822,14479471,14801633,15128532
FR21,1338850,1335923,1337608,1332715,1324707,1315268,1303597,1287713,1266721,1243032,1219425,1197543
FR22,1894355,1914844,1930305,1942510,1951985,1961011,1967285,1966866,1959061,1947658,1935939,1925539
FR23,1811055,1836954,1856379,1873076,1886277,1897187,1903938,1903906,1896677,1885437,1873213,1861707
FR24,2519567,2548065,2585621,2616913,2641880,2666286,2688743,2703448,2707294,2704555,2700836,2699516
FR25,1456793,1473494,1480800,1483087,1479906,1474398,1465167,1448885,1424355,1395004,1364941,1336203
FR26,1628837,1642115,1639293,1635121,1627356,1618797,1607876,1591279,1568002,1541470,1515275,1491255
FR30,4018644,4038157,4063011,4080760,4092434,4103474,4111036,4107977,4091472,4067011,4040284,4014995
FR41,2335749,2350920,2347231,2341047,2328372,2313137,2294123,2267031,2229800,2186509,2142339,2100925
FR42,1815493,1845687,1872319,1892861,1911376,1928091,1940423,1945480,1942334,1934258,1924894,1916963
FR43,1150624,1171763,1181283,1189138,1194726,1200186,1204666,1205690,1201983,1195534,1188723,1182992
FR51,3450413,3571495,3720501,3857710,3984798,4113407,4241592,4357793,4453974,4535431,4611709,4688457
FR52,3094534,3199066,3298093,3392368,3475503,3557185,3635629,3701751,3750213,3786418,3818547,3851196
FR53,1724123,1770363,1804678,1834276,1858463,1881446,1901470,1913893,1916398,1912450,1906799,1902091
FR61,3119778,3232352,3363773,3489948,3607912,3723337,3832474,3927951,4006738,4074813,4138248,4199495
FR62,2776822,2881756,2993644,3103577,3206756,3309241,3408156,3497300,3573603,3641293,3705052,3767590
FR63,730920,742771,735573,730265,724916,721168,717937,712887,704912,695598,686812,679514
FR71,6021346,6230691,6509987,6795327,7072863,7348443,7616714,7869684,8104252,8327113,8542363,8751631
FR72,1335938,1347387,1362285,1373169,1381437,1390323,1398694,1403098,1401905,1397795,1393860,1391784
FR81,2534144,2636350,2786015,2922622,3049302,3169910,3281569,3380183,3464986,3540854,3611275,3677507
FR82,4815232,4899155,4981369,5056520,5122413,5182891,5232577,5268392,5292731,5313168,5332444,5351662
FR83,294118,309693,326817,344308,360891,376631,391413,405130,417805,429679,440918,451552
GR11,607460,610112,623656,616396,607956,601487,597772,595491,593358,590561,586480,581404
GR12,1919401,1921906,1889422,1833084,1768641,1707134,1654013,1607228,1562249,1514881,1462623,1407762
GR13,294155,286450,281368,269919,257744,246396,236297,226757,217066,206914,196367,185908
GR14,737144,746976,734724,711704,687807,665399,645739,628569,612728,596948,580479,563561
GR21,345100,345960,345649,339736,331997,323909,316451,309759,303571,297527,291247,284667
GR22,223149,208675,210780,207989,204471,201320,198811,196566,194238,191490,188161,184492
GR23,734505,692269,668548,643198,615939,589252,564381,540789,517597,494046,469665,444866
GR24,557364,559655,565780,560503,554026,549008,546427,545265,544185,542048,538313,533440
GR25,596621,588471,591266,581549,570798,561858,555422,550044,544450,537850,529839,520969
GR30,4001911,4002871,3874562,3737419,3582599,3428627,3287010,3157156,3034362,2909182,2773178,2628907
GR41,201731,200179,208892,207974,206922,206380,206380,206600,206845,206811,206161,204970
GR42,303980,332652,351953,361264,369194,376853,384461,391429,397468,402485,406103,408371
GR43,602658,623113,631357,632677,632127,632432,634841,638390,641651,643292,642392,639419
