NUTS2,y2012,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
ES63,0,0,0,0,0,0,0,0,0
ES64,0,0,0,0,0,0,0,0,0
FI13,0,-372,233,653,1079,1348,1609,1760,1907
FI18,0,882,4623,7786,10888,13410,15739,17620,19356
FI19,0,40,1228,2146,3060,3738,4386,4871,5345
FI1A,0,-308,393,887,1363,1657,1921,2060,2188
FI20,0,-18,89,166,246,302,359,398,437
FR10,0,4404,18647,31454,45119,57674,70264,81594,92951
FR21,0,791,1834,2427,2936,3164,3154,2746,2150
FR22,0,1389,4063,6183,8255,10024,11451,12383,13126
FR23,0,1174,3238,4812,6291,7465,8414,9011,9471
FR24,0,1577,4859,7492,10154,12486,14538,15970,17148
FR25,0,622,2059,2967,3806,4298,4541,4335,3943
FR26,0,803,2144,2967,3775,4236,4433,4142,3675
FR30,0,866,3126,5153,7310,9187,10790,11830,12643
FR41,0,427,1752,2543,3250,3610,3628,3068,2217
FR42,0,1201,3861,6147,8427,10281,11831,12835,13619
FR43,0,381,1383,2197,3040,3755,4354,4705,4955
FR51,0,3252,11216,18212,25307,32176,38695,44356,49541
FR52,0,2367,8059,12837,17600,21997,26014,29246,32075
FR53,0,1021,3089,4753,6437,7840,9037,9792,10357
FR61,0,1409,7244,12182,17086,21489,25591,29044,32255
FR62,0,361,4253,7675,11192,14363,17393,19970,22405
FR63,0,-5,265,441,669,829,955,962,940
FR71,0,2387,14847,26749,39009,50620,62013,72568,82961
FR72,0,573,1767,2713,3731,4582,5326,5779,6146
FR81,0,2580,9849,16368,22789,28628,34069,38829,43318
FR82,0,1863,8790,14419,19982,24516,28628,31893,35065
FR83,0,429,1315,2014,2718,3288,3851,4316,4775
FR91,0,0,0,0,0,0,0,0,0
FR92,0,0,0,0,0,0,0,0,0
FR93,0,0,0,0,0,0,0,0,0
FR94,0,0,0,0,0,0,0,0,0
GR11,0,149,162,158,205,309,450,590,720
GR12,0,-178,-800,-1535,-2191,-2725,-3134,-3546,-4009
GR13,0,-15,-109,-211,-302,-382,-455,-536,-624
GR14,0,-15,-234,-460,-649,-803,-908,-1005,-1101
GR21,0,-41,0,12,24,30,45,55,68
GR22,0,29,105,161,249,332,431,505,572
GR23,0,-98,-391,-736,-1072,-1391,-1689,-1998,-2323
GR24,0,152,278,356,466,618,805,987,1151
GR25,0,144,225,239,294,389,513,617,697
GR30,0,-1021,-3077,-5213,-7257,-9109,-10745,-12304,-13926
GR41,0,86,137,181,236,292,353,409,463
GR42,0,170,945,1638,2354,3035,3718,4337,4936
GR43,0,-13,357,667,1022,1376,1771,2123,2455
HR01,0,0,0,0,0,0,0,0,0
HR02,0,0,0,0,0,0,0,0,0
HR03,0,0,0,0,0,0,0,0,0
HU10,0,785,6603,12094,17673,22931,28386,33732,39003
HU21,0,-203,133,194,139,-127,-423,-827,-1311
HU22,0,-159,1169,2177,3119,3807,4479,4976,5411
HU23,0,-69,-117,-310,-520,-892,-1295,-1810,-2363
HU31,0,-484,-1516,-2636,-3752,-5014,-6295,-7666,-9055
HU32,0,-324,-1026,-1825,-2734,-3909,-5249,-6764,-8394
HU33,0,-419,-850,-1299,-1769,-2369,-2996,-3684,-4401
IE01,0,525,1463,2013,2668,3460,4544,5749,7059
IE02,0,196,1725,2580,3723,5355,7883,10904,14293
IS00,0,0,0,0,0,0,0,0,0
ITC1,0,1544,4368,7048,9995,13133,16293,18970,20828
ITC2,0,56,286,484,695,891,1089,1249,1381
ITC3,0,37,460,922,1541,2202,2906,3474,3863
ITC4,0,4673,15437,26655,38653,51069,63483,74603,83544
ITD1,0,342,1066,1704,2387,2972,3568,4054,4518
ITD2,0,124,800,1448,2141,2783,3422,3968,4462
ITD3,0,3465,11191,18328,25766,33190,40385,46421,50826
ITD4,0,958,2314,3729,5322,6988,8645,10036,10974
ITD5,0,2682,9213,15934,23208,30755,38340,45233,51028
ITE1,0,677,4050,7435,11113,14805,18513,21758,24397
ITE2,0,416,1451,2469,3562,4662,5769,6752,7574
ITE3,0,569,2005,3371,4823,6305,7774,9031,9968
ITE4,0,3103,9614,15852,22230,28494,34580,39906,44186
ITF1,0,502,1526,2483,3464,4401,5263,5919,6322
ITF2,0,41,103,139,174,199,210,191,143
ITF3,0,1649,4234,7077,9901,12269,13876,14243,13208
ITF4,0,243,1335,2316,3227,3903,4262,4081,3294
ITF5,0,69,132,148,158,125,30,-171,-482
ITF6,0,176,768,1180,1518,1716,1734,1435,780
ITG1,0,273,1758,3330,4922,6282,7321,7766,7556
ITG2,0,-507,-308,-223,-275,-511,-906,-1567,-2537
LI00,0,0,0,0,0,0,0,0,0
LT00,0,-4952,-5911,-7414,-8391,-8787,-7909,-7264,-6486
LU00,0,891,3603,6579,9712,12851,15895,18715,21221
LV00,0,-583,194,385,739,1087,1968,2601,3297
ME01,0,0,0,0,0,0,0,0,0
MK01,0,0,0,0,0,0,0,0,0
MT00,0,282,808,1272,1665,1973,2237,2494,2783
NL11,0,177,543,910,1260,1511,1664,1730,1786
NL12,0,323,750,983,1144,1166,1067,824,365
NL13,0,87,394,542,637,605,428,55,-388
NL21,0,477,1316,1960,2517,2910,3125,3115,2994
NL22,0,984,2680,3980,5081,5784,6057,5876,5510
NL23,0,535,1410,2140,2803,3358,3801,4112,4342
NL31,0,718,2073,3289,4434,5436,6283,6913,7417
NL32,0,1657,5699,9270,12657,15446,17783,19519,21024
NL33,0,2102,6223,9846,13122,15804,17935,19502,20818
NL34,0,649,1467,1876,2100,2073,1844,1436,968
NL41,0,1775,4294,6134,7579,8462,8784,8556,8088
NL42,0,606,1278,1575,1650,1337,400,-954,-2384
NO01,0,0,0,0,0,0,0,0,0
NO02,0,0,0,0,0,0,0,0,0
NO03,0,0,0,0,0,0,0,0,0
NO04,0,0,0,0,0,0,0,0,0
NO05,0,0,0,0,0,0,0,0,0
NO06,0,0,0,0,0,0,0,0,0
NO07,0,0,0,0,0,0,0,0,0
N_A,0,0,0,0,0,0,0,0,0
PL11,0,276,1129,1461,1526,1242,967,485,28
PL12,0,1799,6448,10054,13400,16116,19019,21449,23815
PL21,0,1549,5669,8759,11675,13885,16133,17868,19562
PL22,0,1413,2838,2706,1466,-595,-2551,-4817,-7161
PL31,0,444,1215,1626,1911,1900,1751,1401,1005
PL32,0,793,2247,3273,4128,4684,5176,5455,5675
PL33,0,43,534,774,932,787,548,141,-306
PL34,0,485,1100,1501,1848,2022,2189,2190,2151
PL41,0,1020,3857,5933,7697,8966,10206,11120,11977
PL42,0,584,2101,3164,4210,4854,5531,5897,6292
PL43,0,217,913,1396,1845,2135,2462,2678,2909
PL51,0,829,2892,4234,5438,6211,7121,7760,8470
PL52,0,818,1055,952,622,1,-569,-1183,-1804
PL61,0,661,1630,2251,2751,2975,3164,3122,3037
PL62,0,397,1270,1888,2500,2886,3286,3499,3706
PL63,0,1002,3253,4979,6627,7887,9191,10195,11191
PT11,0,617,-29,-1237,-2777,-5160,-8397,-12908,-18459
PT15,0,-65,1196,2314,3540,4560,5629,6474,7298
PT16,0,1251,1560,525,-1264,-3588,-6451,-10331,-15170
PT17,0,399,2416,4460,6689,8676,10791,12608,14288
PT18,0,134,427,562,560,501,431,213,-128
PT20,0,0,0,0,0,0,0,0,0
PT30,0,0,0,0,0,0,0,0,0
