NUTS2,y2012,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
MK01,0,0,0,0,0,0,0,0,0
MT00,0,319,915,1440,1886,2234,2533,2824,3151
NL11,0,191,588,986,1366,1638,1804,1877,1938
NL12,0,415,945,1228,1416,1429,1282,950,540
NL13,0,100,447,614,721,683,520,201,-179
NL21,0,540,1489,2218,2847,3292,3534,3523,3385
NL22,0,1203,3240,4803,6125,6968,7286,7055,6598
NL23,0,786,2060,3129,4096,4911,5556,6011,6345
NL31,0,808,2334,3703,4993,6120,7075,7784,8351
NL32,0,1915,6558,10666,14561,17771,20459,22457,24188
NL33,0,2514,7406,11712,15604,18793,21324,23187,24750
NL34,0,982,2131,2696,2981,2909,2534,1904,1184
NL41,0,2431,5811,8286,10214,11390,11792,11452,10781
NL42,0,727,1512,1850,1914,1513,742,-370,-1545
NO01,0,0,0,0,0,0,0,0,0
NO02,0,0,0,0,0,0,0,0,0
NO03,0,0,0,0,0,0,0,0,0
NO04,0,0,0,0,0,0,0,0,0
NO05,0,0,0,0,0,0,0,0,0
NO06,0,0,0,0,0,0,0,0,0
NO07,0,0,0,0,0,0,0,0,0
N_A,0,0,0,0,0,0,0,0,0
PL11,0,308,1269,1666,1898,1768,1657,1319,1008
PL12,0,1841,6783,10613,14206,17105,20203,22775,25289
PL21,0,2015,6979,10695,14150,16774,19431,21497,23499
PL22,0,1524,3126,3028,2042,297,-1338,-3313,-5353
PL31,0,518,1394,1853,2163,2180,2155,1926,1661
PL32,0,1113,2958,4249,5290,5955,6524,6829,7049
PL33,0,87,650,908,1056,995,884,610,307
PL34,0,533,1219,1670,2064,2267,2463,2509,2521
PL41,0,1143,4329,6661,8642,10068,11463,12490,13453
PL42,0,634,2334,3535,4728,5484,6292,6756,7253
PL43,0,225,995,1534,2044,2379,2754,3005,3272
PL51,0,905,3207,4713,6073,6951,7982,8705,9507
PL52,0,945,1211,1085,736,231,-227,-735,-1248
PL61,0,705,1771,2462,3036,3311,3554,3561,3532
PL62,0,428,1404,2101,2800,3249,3719,3983,4243
PL63,0,1055,3498,5371,7175,8552,9979,11073,12163
PT11,0,699,264,-603,-1749,-3701,-6405,-10294,-15106
PT15,0,-63,1346,2603,3982,5128,6330,7280,8206
PT16,0,1813,1918,1103,71,-1431,-3323,-6041,-9471
PT17,0,408,2632,4846,7258,9390,11660,13597,15400
PT18,0,238,542,635,747,795,841,752,575
PT20,0,0,0,0,0,0,0,0,0
PT30,0,0,0,0,0,0,0,0,0
RO11,0,1451,5428,7828,9463,10940,12770,14304,15751
RO12,0,119,4084,6758,9113,11169,13574,15530,17479
RO21,0,-3049,-807,550,1611,2714,4152,5289,6419
RO22,0,-1606,359,1007,1281,1513,2115,2275,2373
RO31,0,-122,797,787,484,140,18,-442,-1022
RO32,0,-179,2743,4911,6882,8615,10722,12554,14409
RO41,0,-696,-419,-441,-521,-724,-860,-1174,-1511
RO42,0,297,1987,3043,3882,4538,5378,5994,6610
RS01,0,0,0,0,0,0,0,0,0
RS02,0,0,0,0,0,0,0,0,0
RS03,0,0,0,0,0,0,0,0,0
RS04,0,0,0,0,0,0,0,0,0
SE11,0,2177,8026,13615,19291,24597,29929,35054,40098
SE12,0,1055,3501,5815,8039,9968,11870,13712,15572
SE21,0,208,1142,1926,2646,3181,3709,4178,4653
SE22,0,1365,4830,8239,11602,14710,17839,20931,23996
SE23,0,1023,4060,6899,9660,12036,14371,16558,18714
SE31,0,454,1131,1660,2157,2472,2779,3011,3255
SE32,0,71,404,649,889,1038,1190,1294,1403
SE33,0,246,819,1266,1661,1904,2136,2320,2513
SI01,0,-794,-545,-517,-578,-732,-861,-1054,-1311
SI02,0,-490,988,2270,3520,4682,5942,7174,8391
SK01,0,311,1772,2899,3851,4569,5348,6103,6853
SK02,0,167,1114,1330,870,-247,-1622,-3236,-5106
SK03,0,-481,367,911,1262,1260,1154,833,397
SK04,0,-356,855,1975,2984,3702,4313,4705,4942
UKC1,0,288,1091,1778,2357,2827,3289,3753,4197
UKC2,0,371,1278,2140,2954,3635,4278,4874,5450
UKD1,0,-349,-121,-23,39,-12,-81,-208,-344
UKD2,0,-181,836,1681,2400,2974,3505,4016,4506
UKD3,0,1115,3783,6516,9271,11982,14841,17790,20749
UKD4,0,98,830,1478,2061,2519,2982,3435,3884
UKD5,0,19,480,941,1337,1596,1828,2032,2218
UKE1,0,264,521,751,931,1046,1160,1263,1345
UKE2,0,688,1493,2145,2759,3229,3672,4045,4413
UKE3,0,530,2157,3851,5553,7203,8891,10624,12379
UKE4,0,575,2542,4561,6634,8713,10898,13139,15373
UKF1,0,708,3023,5316,7565,9650,11728,13824,15932
UKF2,0,615,2512,4359,6162,7885,9631,11388,13126
UKF3,0,233,867,1452,2001,2474,2935,3383,3835
UKG1,0,519,1481,2276,2940,3421,3842,4233,4620
UKG2,0,682,2066,3254,4273,5099,5864,6595,7292
UKG3,0,1360,4522,7928,11542,15273,19261,23428,27685
UKH1,0,843,3353,5697,7931,9966,11986,13992,15999
UKH2,0,1061,3628,6217,8818,11399,14068,16809,19549
UKH3,0,918,3024,4990,6836,8538,10216,11906,13579
UKI1,0,-349,3116,6429,9877,13119,16471,19706,22947
UKI2,0,2592,9616,16756,24133,31725,39813,48251,56788
UKJ1,0,902,4067,6951,9734,12425,15238,18104,20928
UKJ2,0,573,3728,6793,9823,12665,15484,18260,20983
UKJ3,0,337,2321,4218,6064,7761,9457,11147,12836
UKJ4,0,765,3573,6322,9020,11583,14134,16700,19280
UKK1,0,1151,3723,6184,8580,10793,13003,15200,17397
UKK2,0,-336,869,1946,2958,3805,4608,5348,6074
UKK3,0,-1418,-540,215,934,1523,2082,2603,3146
UKK4,0,-307,556,1298,1985,2518,3028,3495,3975
UKL1,0,162,1297,2360,3331,4089,4821,5528,6245
UKL2,0,524,1757,2930,4068,5091,6104,7107,8113
UKM2,0,770,2519,4264,6023,7577,9087,10501,11893
UKM3,0,1079,1821,2655,3461,4087,4654,5137,5562
UKM5,0,212,661,1110,1563,1968,2372,2762,3160
UKM6,0,892,1801,2430,2968,3337,3653,3884,4096
UKN0,0,546,2365,4013,5521,6853,8177,9480,10710
XK01,0,0,0,0,0,0,0,0,0
