"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"EL21","2050",12632.5887052645,491894.896729481,8179.58560100853
"EL21","2020",17297.5033597446,486785.11676868,4104.43356403188
"EL21","2025",16700.2499017394,487295.357208973,3899.72021087393
"EL21","2030",16102.9964437341,487805.597649266,3695.00685771599
"EL21","2035",15237.6822661413,486987.552817677,5107.33740061211
"EL21","2040",14372.3680885485,486169.507986089,6519.66794350823
"EL21","2045",13502.4783969065,489032.202357785,7349.62677225838
"EL22","2050",2836.54084727239,70836.6847218832,78557.2733959801
"EL22","2020",7959.0933063418,65980.6256525006,76752.0190140309
"EL22","2025",6897.3807876686,66847.0316992063,76985.3394290104
"EL22","2030",5835.66826899539,67713.4377459119,77218.6598439899
"EL22","2035",5033.00787016299,68507.4061843562,77382.6995286172
"EL22","2040",4230.34747133058,69301.3746228005,77546.7392132446
"EL22","2045",3533.44415930149,70069.0296723419,78052.0063046123
"EL23","2050",30840.3708123915,341673.713678875,281888.370340679
"EL23","2020",101786.488664836,315971.87609661,225068.207288506
"EL23","2025",88401.6406289857,320262.727488464,234664.777286233
"EL23","2030",75016.7925931352,324553.578880318,244261.34728396
"EL23","2035",62261.900739761,328752.895027257,253938.766396647
"EL23","2040",49507.0088863867,332952.211174196,263616.185509335
"EL23","2045",40173.6898493891,337312.962426535,272752.277925007
"EL24","2050",97379.1927136056,514566.173235158,290693.711722193
"EL24","2020",175121.025953808,476307.447331883,234604.33466738
"EL24","2025",159126.9113264,482658.494631592,244760.421129217
"EL24","2030",143132.796698992,489009.541931301,254916.507591054
"EL24","2035",130834.035127366,494864.219944509,263298.885591947
"EL24","2040",118535.27355574,500718.897957716,271681.263592841
"EL24","2045",107957.233134673,507642.535596437,281187.487657517
"EL25","2050",9565.49782739335,781562.699994418,177877.199220324
"EL25","2020",8177.33126903404,821221.967578378,144413.823814899
"EL25","2025",8930.07772347054,820464.471548943,141725.297373691
"EL25","2030",9682.82417790704,819706.975519507,139036.770932483
"EL25","2035",9631.75183631503,812668.536610654,143619.636242301
"EL25","2040",9580.67949472302,805630.0977018,148202.50155212
"EL25","2045",9573.08866105819,793596.398848109,163039.850386222
"EL30","2050",10426.7631304887,126360.079827675,65205.8632344624
"EL30","2020",117674.853146541,92737.4455153594,16040.1102602113
"EL30","2025",100521.855313694,99391.0407011762,20327.8580632532
"EL30","2030",83368.8574808474,106044.635886993,24615.6058662951
"EL30","2035",47828.1308422413,111154.708817374,50968.2309324816
"EL30","2040",12287.4042036353,116264.781747755,77320.855998668
"EL30","2045",11357.083667062,121312.430787715,71263.3596165652
"EL41","2050",6023.95036198136,154064.818203564,73143.1093291537
"EL41","2020",9151.49999201961,154650.034329052,68413.6397068763
"EL41","2025",8443.93749889032,156110.18669007,67579.3827302582
"EL41","2030",7736.37500576103,157570.339051089,66745.1257536401
"EL41","2035",6700.67456755599,157581.146891834,67551.1067677687
"EL41","2040",5664.97412935096,157591.95473258,68357.0877818973
"EL41","2045",5844.46224566616,155828.386468072,70750.0985555255
"EL42","2050",8232.54060809274,216723.620219861,62036.9725733918
"EL42","2020",17070.7458784549,233973.938038799,33916.8653585382
"EL42","2025",14356.5707306457,235633.301613282,34482.8593730912
"EL42","2030",11642.3955828365,237292.665187766,35048.8533876442
"EL42","2035",10243.2946968751,233756.690649258,40044.2661633988
"EL42","2040",8844.19381091374,230220.716110751,45039.6789391534
"EL42","2045",8538.36720950324,223472.168165306,53538.3257562726
"EL43","2050",3285.64798671387,430070.066575825,206531.876486232
"EL43","2020",25726.889452279,434804.934329638,178219.908625055
"EL43","2025",19741.4463259883,443339.740584155,175503.061780922
"EL43","2030",13756.0031996976,451874.546838672,172786.214936789
"EL43","2035",9273.83789179731,450988.496587001,177306.642416854
"EL43","2040",4791.67258389706,450102.44633533,181827.069896918
"EL43","2045",4038.66028530547,440086.256455578,194179.473191575
